iter	Passed	Remaining
360	2657	4704
361	2663	4695
362	2669	4685
363	2679	4680
364	2685	4672
365	2692	4664
366	2699	4656
367	2707	4649
368	2714	4641
369	2720	4631
370	2726	4622
371	2733	4613
372	2741	4608
373	2747	4598
374	2754	4590
375	2760	4580
376	2766	4571
377	2774	4564
378	2786	4564
379	2792	4555
380	2798	4545
381	2805	4539
382	2812	4530
383	2818	4521
384	2824	4511
385	2830	4502
386	2837	4495
387	2844	4486
388	2850	4477
389	2856	4468
390	2863	4460
391	2872	4454
392	2879	4446
393	2886	4438
394	2892	4430
395	2898	4421
396	2907	4415
397	2913	4407
398	2920	4398
399	2926	4390
400	2934	4383
401	2941	4375
402	2947	4366
403	2953	4357
404	2959	4347
405	2966	4340
406	2973	4332
407	2979	4323
408	2985	4314
409	2991	4305
410	2999	4299
411	3006	4291
412	3012	4282
413	3019	4273
